"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód. no fornecedor";"Fornecedor";"Localização";"Estoque máximo";"Estoque mínimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da Embalagem";"Largura do produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Itens p/ caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código na Lista de Serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do Produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de Medida";"Preço de Compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais"
"16568812630";"1778	";"BOLSA CLUTCH RET FESTA - 8461";"UN";"4202.22.20";"0";"54,90";"0,00";"";"Ativo";"9,00";"22,50";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"22,50";"0,0000";"0,0000";"0,0000";"";""
"16568125574";"1777	";"BOLSA LATERAL LUXO C ALCA C PEDRARIAS B AZUL- P233";"UN";"4202.22.20";"0";"195,00";"0,00";"";"Ativo";"2,00";"93,75";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"93,75";"0,0000";"0,0000";"0,0000";"";""
"16568124330";"1776	";"BOLSA LATERAL LUXO U COM CORRENTES - F112";"UN";"4202.22.20";"0";"199,90";"0,00";"";"Ativo";"2,00";"99,00";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"99,00";"0,0000";"0,0000";"0,0000";"";""
"16568120898";"1775	";"BOLSA LATERAL PEQ ALCA TRANCADA C CORRENTE- P205";"UN";"4202.22.20";"0";"195,00";"0,00";"";"Ativo";"3,00";"93,75";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"93,75";"0,0000";"0,0000";"0,0000";"";""
"16568030142";"1774	";"BOLSA MEDIA LUXO C NÓ ALÇA E CHAVEIRO - P212";"UN";"4202.22.20";"0";"245,00";"0,00";"";"Ativo";"2,00";"99,00";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"99,00";"0,0000";"0,0000";"0,0000";"";""
"16568010860";"1773	";"BOLSA MEDIA LUXO C REPARTICOES B AZUL- L2606";"UN";"4202.22.20";"0";"239,90";"0,00";"";"Ativo";"3,00";"99,00";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"99,00";"0,0000";"0,0000";"0,0000";"";""
"16567956109";"1772	";"BOLSA MEDIA LUXO COM CHAVEIRO POM POM - P239";"UN";"4202.22.20";"0";"245,00";"0,00";"";"Ativo";"2,00";"112,50";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"112,50";"0,0000";"0,0000";"0,0000";"";""
"16567906157";"1771	";"BOLSA GRANDE C DETALHE COSTURAS B AZUL- L2308";"UN";"4202.22.20";"0";"199,00";"0,00";"";"Ativo";"2,00";"75,00";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"75,00";"0,0000";"0,0000";"0,0000";"";""
"16567899983";"1770	";"BOLSA 3 REPARTICOES C FIVELA LADO B AZUL- P210";"UN";"4202.22.20";"0";"219,90";"0,00";"";"Ativo";"1,00";"99,00";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"99,00";"0,0000";"0,0000";"0,0000";"";""
"16567896936";"1769	";"BOLSA 3 ZIPER C ALÇA C CORRENTE B AZUL - P211";"UN";"4202.22.20";"0";"219,90";"0,00";"";"Ativo";"1,00";"99,00";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"99,00";"0,0000";"0,0000";"0,0000";"";""
