codigo,descricao_curta,Peso,altura,largura,comprimento,preco
1083,TRIO BRINCO CORACAO CRISTAL BANH OURO 18K- BR06315,,,,,"95,00"
1087,TRIO BRINCO QUADRADO CRISTAL BANH OURO 18K-BR06317,,,,,"69,90"
1088,TRIO BRINCO QUADRADO CRISTAL RODIO BRANCO- BR06317,,,,,"59,90"
1089,BRINCO CORACAO PONTO LUZ GG BANH OURO 18K- BR05540,,,,,"69,90"
1090,BRINCO CORACAO PONTO LUZ GG RODIO BRANCO- BR05540,,,,,"59,90"
1091,BRINCO PONTO LUZ QUADRADO ZIRC GG BANH OURO 18K- BR01193,,,,,"59,90"
1092,BRINCO PONTO LUZ QUADRADO ZIRC GG RODIO BRANCO - BR01193,,,,,"49,90"
1093,BRINCO PONTO LUZ REDONDO GG BANH OURO 18K- BR01206,,,,,"49,90"
1094,BRINCO PONTO LUZ REDONDO GG RODIO BRANCO- BR01206,,,,,"39,90"
1096,BRINCO PONTO LUZ RED M RODIO BRANCO- BR01211 P,,,,,"19,90"
1097,BRINCO PONTO LUZ C GARRA GG BANH OURO 18K- BR01213,,,,,"59,90"
1099,BRINCO PONTO LUZ GOTA GD BANH OURO 18K- BR01268,,,,,"52,90"
1100,BRINCO PONTO LUZ GOTA GD RODIO BRANCO - BR01268,,,,,"44,90"
1101,BRINCO PONTO LUZ QUADRADO PEQ BANH OURO 18K- BR01210,,,,,"23,90"
1102,BRINCO PONTO LUZ QUADRADO PEQ RODIO BRANCO - BR01210,,,,,"19,90"
1103,BRINCO PONTO LUZ GOTA MED BANH OURO 18K- BR08783,,,,,"45,90"
1104,BRINCO PONTO LUZ GOTA  MED RODIO BRANCO - BR08783,,,,,"37,90"
1105,BRINCO PONTO LUZ CORACAO GD C GARRA BANH OURO 18K - BR08924,,,,,"45,90"
1106,BRINCOPONTO LUZ CORACAO GD C GARRA RODIO BRANCO- BR08924,,,,,"39,90"
1107,BRINCO CORACAO PÓNTO LUZ MED C GARRA BANH OURO 18K- BR08926,,,,,"29,90"
1108,BRINCO PONTO LUZ MED C GARRA RODIO BRANCO- BR08926,,,,,"26,90"
1109,BRINCO PONTO LUZ RED CRISTAL RODIO BRANCO - BR01189,,,,,"19,90"
1112,BRINCO LUXO FESTA C ESFERAS E PEDRAS BANH OURO 18K- 1112,,,,,"94,00"
1113,BRINCO LUXO FESTA C ESFERAS E PEDRAS RODIO BRANCO- 1112,,,,,"85,00"
1114,PULSEIRA INF C CORACOES E PEDRAS BANH OURO 18K- PL00748,,,,,"89,90"
1115,PULSEIRA INF C CORACOES E PEDRAS RODIO BRANCO- PL00748,,,,,"74,90"
1116,PULSEIRA INF CORACAO VAZADO BANH OURO 18K- PL00897,,,,,"42,90"
1117,PULSEIRA INF CORACOES VAZADO RODIO BRANCO - PL00897,,,,,"34,90"
1118,PULSEIRA CORRENTARIA BANH OURO 18K- PL04764,,,,,"59,90"
1119,PULSEIRA CORRENTARIA RODIO BRANCO - PL04764,,,,,"45,90"
1123,PULSEIRA ELOS C ZIRCONIAS BANH OURO 18K- PL04181,,,,,"89,90"
1124,PULSEIRA ELOS C ZIRCONIAS RODIO BRANCO - PL04181,,,,,"74,90"
1125,PULSEIRA CORACAO VAZADO GD E PEQ BANH OURO 18K- PL04541,,,,,"85,90"
1126,PULSEIRA CORACAO VAZAD GD E PEQ RODIO BRANCO- PL04541,,,,,"75,90"
1127,PULSEIRA CORACAO VAZADO C CORACAO ZIRC BANH OURO 18K- PL02719,,,,,"79,90"
1128,PULSEIRA CORACAO VAZADO C CORACAO ZIRC RODIO BRANCO- PL02719,,,,,"69,90"
1130,TORNOZELEIRA C PIING CORACAO C PEDRA BANH OURO 18K- TR00793,,,,,"72,90"
1131,PULSEIRA ELOS GOTA TRABALHADO BANH OURO 18K- PL00498,,,,,"79,90"
1132,TORNOZELEIRA C PING CORACAO C PEDRA RODIO BRANCO- -TR00793,,,,,"65,90"
1137,TORNOZELEIRA CORACAO VAZADO PEQ BANH OURO 18K- TR00019,,,,,"59,90"
1138,TORNOZELEIRA CORACAO VAZADO PEQ RODIO BRANCO- TR00019,,,,,"57,90"
1140,PULSEIRA INF BOLINHAS RODIO BRANCO - PUL PP,,,,,"49,90"
1141,PULSEIRA C ZIRCONIAS E CORACAO CENTRAL BANH OURO 18K- PL03204,,,,,"109,90"
1142,PULSEIRA C ZIRCONIAS E CORACAO CENTRAL RODIO BRANCO- PL03204,,,,,"89,90"
1143,TORNOZELEIRA ELOS PEQUENOS BANH OURO 18K - TR00815,,,,,"69,90"
1144,TORNOZELEIRA ELOS PEQUENO RODIO BRANCO TR00815,,,,,"59,90"
1145,PULSEIRA INF C PING BORBOLETA ZIRCONIAS BANH OURO 18K- PL03840,,,,,"69,90"
1146,PULSEIRA INF C PING BORBOLETA ZIRCONIAS RODIO BRANCO- PL03840,,,,,"59,90"
1147,PULSEIRA TERCO COM BOLAS 3.5MM BANH OURO 18K- GF07,,,,,"89,90"
1148,PULSEIRA TERCO C N S APARECIDA BANH OURO 18K- GF1240,,,,,"95,00"
1151,TORNOZELEIRA DUPLA C CORACAO VAZADO BANH OURO 18K- TR00756,,,,,"84,90"
1152,TORNOZELEIRA DUPLA C CORACAO VAZADO RODIO BRANCO- TR00756,,,,,"75,90"
1153,TORNOZELEIRA ESCAMA DE PEIXE BANH OURO 18K - TR00383,,,,,"109,90"
1154,TORNOZELEIRA ESCAMA DE PEIXE RODIO BRANCO - TR00383,,,,,"89,90"
1155,PULSEIRA COM ZIRCONIAS MEDIA BANH OURO 18K - PL1950,,,,,"124,90"
1157,TORNOZELEIRA BUZIOS PED CRISTAL BANH OURO 18K- GF3196,,,,,"95,00"
1158,TONOZELEIRA BUZIOS PED CRISTAL RODIO BRANCO- GF3196,,,,,"82,90"
1159,TORNOZELEIRA INDIANA C PINGENTE BANH OURO 18K- TR00107,,,,,"62,90"
1160,TORNOZELEIRA INDIANA C PINGENTE RODIO BRANCO- TR00107,,,,,"56,90"
1161,PULSEIRA INF COM PEROLAS PEQ BANH OURO 18K- PL04356,,,,,"44,90"
1162,PULSEIRA INF COM PEROLAS PEQ RODIO BRANCO - PL04356,,,,,"37,90"
1252,ANEL MEIA ALIANCA  CRISTAL 15 ZIRC PRATA925-ANL1619,,,,,"84,90"
1253,ANEL 8 ELOS RETANG ROSA PRATA925-ANL1794,,,,,"109,90"
1254,ANEL 8 ELOS RETANG VERDE PRATA925-ANL1792,,,,,"109,90"
1285,ANEL COROA LINHA FINA CRAVEJADO BANH OURO 18K- AGF724,,,,,"109,90"
1288,ANEL LUXO CRAVEJADO BANH OURO 18K- AGF1008,,,,,"79,90"
1289,ANEL CRAVEJADO PONTO LUZ BANH OURO18K- AGF895,,,,,"87,90"
1290,ANEL CORACAO CRAVEJADO VAZADO BANH OURO18K- AGF1068,,,,,"75,90"
1291,ANEL APARADOR CRAVEJADO BANH OURO 18K- AGF389,,,,,"79,90"
1292,ANEL APARADOR C ZIRCONIAS BANH OURO 18K- AGF628,,,,,"99,00"
1293,ANEL CORACAO VAZADO C NAVETES BANH OURO 18K- AGF800,,,,,"89,90"
1304,ANEL QUADRADO C CORACAO E ZIRC PRATA925 -ANB28856,,,,,"99,90"
1305,ANEL MEIA ALIANCA CRAVEJADA CRISTAL PRATA925- AN523,,,,,"89,90"
1306,ANEL CRISTAL REDONDO C ZIRC AZUL PRATA925-AN6787,,,,,"149,90"
1309,"BRINCO REDONDO ORGANICO 2,1CM PRATA925- BR1182",,,,,"179,90"
1406,ANEL VAZADO COM TREVOS BANH OURO 18K-AGF1143,,,,,"89,90"
1407,ANEL CORACAO ESMERALDA CRAVEJ  BANH OURO18K-AGF792,,,,,"99,00"
1408,BRINCO ARG C GOTA CRISTAL BANH OURO 18K-AR421,,,,,"56,90"
1416,BRINCO BANH OURO 18K C ZIRCONIAS E CORACAO - BR6688,,,,,"79,90"
1417,BRINCO MALHA BANH OURO 18K COM CORACAO CRISTAL- BR06498,,,,,"65,90"
1418,BRINCO CORACOES VAZADOS BANH OURO 18K E PEDRAS -BR1390,,,,,"69,90"
1420,BRINCO GRANDE MODINHA BANH OURO 18K - BR8251,,,,,"45,90"
1423,BRINCO FLOR LUXO BANH OURO 18K COM PEDRAS - BR1108,,,,,"54,90"
1425,BRINCO ESTRELA BANH OURO 18K COM PEDRA CRISTAL -BR0758,,,,,"44,90"
1427,BRINCO ORGANICO MEDIO LUXO BANH OURO 18K- BR8393,,,,,"99,00"
1430,BRINCO BASE TORCIDA BANH OURO 18K COM PEROLA- BR06452,,,,,"33,90"
1434,BRINCO REDONDO BANH OURO 18K COM MINI ZIRCONIAS - BZ60,,,,,"59,90"
1436,BRINCO GOTA TORTA BANH OURO 18K - BA828,,,,,"34,90"
1438,BRINCO ARGOLA FRONTAL TORCIDA BANH OURO 18K C GOTA- 12902,,,,,"69,90"
1443,BRINCO CIRCULOS PENDURADOS BANH OURO 18K- EB65,,,,,"74,90"
1447,BRINCO ARGOLA C PINGENTE CRUZ BANH OURO 18K E PEDRA- EB720,,,,,"49,90"
1448,BRINCO PEROLA MED BASE BANH OURO 18K- BR02143,,,,,"14,90"
1454,BRINCO GOTA RASA MEDIA TORTA  BANH OURO 18K- BR08306,,,,,"39,90"
1456,BRINCO QUADRADO PEQ BANH OURO 18K C ZIRCONIAS - BZ01,,,,,"47,90"
1457,BRINCO ESTRELA G BASE BANH OURO 18K PEDRA CRISTAL  -BR01202,,,,,"39,90"
1458,BRINCO CORACAO FINO PQ BANH OURO 18K - B521 P,,,,,"25,90"
1463,TRIO BRINCO CORACAO COLORIDO BASE BANH OURO 18K- BR1035,,,,,"82,90"
1473,CONUNTO BRINCO CORACAO TRABALHADO BANH OURO 18K -BR6597,,,,,"48,90"
1474,TRIO BRINCOS ARGOLA LARGA BANH OURO 18K- BRS296,,,,,"159,00"
1475,TRIO BRINCOS ARGOLA COM PEDRAS - BRP177,,,,,"149,90"
1476,TRIO BRINCO ARGOLA MEDIA LISA BANH OURO 18K- BRS236,,,,,"129,00"
1479,BRINCO TREVO PRETO PENDURADO BANH OURO 18K-BR08388,,,,,"79,90"
1481,BRINCO MEIA ARG CRAVEJADO ZIRC BANH OURO 18K - BF014,,,,,"89,90"
1487,CONJUNTO BRINCO CORACAO VAZADO BANH OURO 18K- BR6297,,,,,"32,90"
1492,BRINCO PALITO BANH OURO 18K C PONTO LUZ CRISTAL - BR01706,,,,,"57,90"
1499,BRINCO ARGOLA OVAL DUPLA BANH OURO 18K - B021611599,,,,,"78,50"
1521,TRIO BRINCO ARGOLA LISA BANH OURO 18K - B514,,,,,"74,90"
1534,BRINCO FIO ZRIOCNIAS BASE BANH OURO 18K MED -BR06470,,,,,"24,90"
1536,BRINCO ARGOLINHA C ESTRELA CRISTAL PEQ BANH OURO 18K- BR04458,,,,,"49,90"
1539,BRINCO FIO ZIRCONIAS C BASE BANH OURO 18K- 13509,,,,,"27,90"
1541,BRINCO ARGOLINHA C PEDRA C GARRAS BANH OURO 18K- BR05337,,,,,"49,90"
1542,BRINCO ARGOLA BANH OURO 18K C ZIRCONIA RED 6MM -GFBR220,,,,,"54,90"
1543,BRINCO ARGOLINHA BASE BANH OURO 18 C GOTA ZIRCONIA G -13517,,,,,"59,90"
1544,ANEL MICRO C ZIRCONIAS C PEDRA 5MM BANH OURO 18K- AGF1047,,,,,"109,90"
1554,GARGANTILHA FILHA MULTICOR BANH OURO 18K - DZ8027,,,,,"149,00"
,,,,,
