codigo,descricao_curta,Peso,altura,largura,comprimento,preco
99,BRINCO NÓ JOINHA PEQUENO BANHADO OURO 18K - 2510002,,,,,"109,90"
100,BRINCO NÓ JOINHA PEQUENO RODIO BRANCO - 2510002,,,,,"99,00"
101,PIERCING FAKE CORRENTARIA BANHO OURO 18K -B01917,,,,,"31,90"
102,PIERCING FAKE CORRENTARIA RODIO BRANCO - B01917,,,,,"27,90"
104,PIERCING FAKE TORCIDO RODIO BRANCO - B01992,,,,,"29,90"
105,PIERCING FAKE FIO DUPLO TRAB BANH OURO 18K - SBR2300,,,,,"59,90"
106,PIERCING FAKE FIO DUPLO TRAB RODIO BRANCO - SBR2300,,,,,"53,90"
107,PIERCING FAKE COM ELOS MEIO BANH OURO 18K - SBR2257,,,,,"59,90"
118,CONJUNTO COLAR E BRINCO CORACAO C PEDRARIAS BANH OURO 18K - CJ09,,,,,"159,90"
120,CONJUNTO COLAR E BRINCO CORACAO VAZADO C PEDRA BANH OURO 18K -CJ57,,,,,"145,90"
121,CONJUNTO COLAR E BRINCO CORACAO VAZADO C PEDRA RODIO BRANCO - CJ57,,,,,"119,90"
122,CONJUNTO COLAR E BRINCO CORACAO CHEIO BANH OURO 18K - CJ53,,,,,"119,90"
123,CONJUNTO COLAR E BRINCO CORACAO CHEIO RODIO BRANCO - CJ53,,,,,"99,00"
124,TRIO BRINCOS CORACAO VAZADO BANH OURO 18K - BA635,,,,,"49,90"
126,TRIO BRINCOS CORACAO CHEIO BANHADO OURO 18K - BA643,,,,,"54,90"
130,BRINCO PET PATINHA FECHADA C PEDRA BANH OURO  - BR1062,,,,,"32,90"
131,BRINCO PET PATINHA FECHADA RODIO BRANCO - BR1062,,,,,"28,90"
132,BRINCO PET CORACAO C PATINHA BANH OURO 18K - BR1062,,,,,"32,90"
133,BRINCO PET CORACAO C PATINHA RODIO BRANCO - BR1062,,,,,"28,90"
134,BRINCO PET GATINHO BANHADO OURO 18K - BR1062,,,,,"32,90"
135,BRINCO PET GATINHO BANHADO RODIO BRANCO - BR1062,,,,,"28,90"
136,BRINCO PET CACHORRO C PEDRA BANH OURO 18K - BR1062,,,,,"32,90"
137,BRINCO PET CACHORRO C PEDRA RODIO BRANCO - BR1052,,,,,"28,90"
153,PULSEIRA CONCHINHAS RODIO BRANCO - PL00927,,,,,"49,90"
154,PULSEIRA ELOS COM CORACOES VAZADO BANHO OURO 18K - PL1318,,,,,"75,90"
155,PULSEIRA ELOS COM CORACOES VAZADO RODIO BRANCO - PL1318,,,,,"62,90"
156,PULSEIRA CORACAO CHEIO TRABALHADO BANH OURO 18K - PL04740,,,,,"85,90"
159,PULSEIRA CORACAO VAZADO MED RODIO BRANCO - PL02288,,,,,"62,90"
161,PULSEIRA TREVOS C ZIRCONIAS PRETA RODIO BRANCO - PL04843,,,,,"79,90"
162,PULSEIRA ESCAMAS TRABALHADA BANH OURO 18K - PL04875,,,,,"96,00"
164,PULSEIRA TREVO ZIRCONIA CRISTAL BANH OURO 18K - PL04815,,,,,"79,90"
165,PULSEIRA TREVO ZIRCONIA CRISTAL RODIO BRANCO,,,,,"65,90"
166,PULSEIRA PINGENTES COUNTRY BANH OURO 18K - PUL133E,,,,,"149,90"
168,PULSEIRA ELOS FINOS TRABALHADO GRANDE BANH OURO 18K - PL04332,,,,,"99,00"
170,PULSEIRA ELOS GD LARGOS BANH OURO 18K - PL04126,,,,,"95,50"
173,PULSEIRA COM BOLAS E PEDRARIAS RODIO BRANCO - PLZ425,,,,,"67,90"
174,PULSEIRA COM 3 CORACOES VAZADO BANH OURO 18K - PL02699,,,,,"69,90"
188,GARGANTILHA ARO FORMATO V BANH OURO 18K - 0130062,,,,,"155,90"
189,GARGANTILHA ARO FORMATO V RODIO BRANCO - 0130062,,,,,"139,90"
190,COLAR PEROLAS E TUBO BANH OURO 18K - CL4264,,,,,"169,90"
191,PULSEIRA PEROLAS E TUBO BANH OURO 18K - PL4258,,,,,"109,90"
193,PULSEIRA INF COM 3 PING CORACAO BANH OURO 18K - PL02699,,,,,"45,90"
194,PULSEIRA INF COM 3 PING CORACAO RODIO BRANCO - PL02699,,,,,"36,90"
195,PULSEIRA INF ELOS PEQ E PEROLAS BANH OURO 18K - PL03478,,,,,"45,90"
196,PULSEIRA INF ELOS PEQ E PEROLAS RODIO BRANCO - PL03478,,,,,"37,90"
198,PULSEIRA INF ELOS MED E PEROLAS RODIO BRANCO - PL1058,,,,,"47,90"
199,PULSEIRA INF ESFERAS MED BANH OURO 18K - PL1036,,,,,"59,90"
201,PULSEIRA INF CORACAO VAZADO E PEDRAS BANH OURO 18K - PL1059,,,,,"79,90"
